OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipperID,Freight,ShipAddress
10001,C001,4,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市1（数据上报地）
10002,C001,4,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市1（数据上报地）
10003,C001,4,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市1（数据上报地）
10004,C001,4,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市1（数据上报地）
10005,C001,4,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市1（数据上报地）
10006,C001,4,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市1（数据上报地）
10007,C001,4,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市1（数据上报地）
10008,C001,4,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市1（数据上报地）
10009,C002,4,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市2（数据上报地）
10010,C002,4,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市2（数据上报地）
10011,C002,4,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市2（数据上报地）
10012,C002,4,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市2（数据上报地）
10013,C002,4,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市2（数据上报地）
10014,C002,4,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市2（数据上报地）
10015,C002,4,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市2（数据上报地）
10016,C002,4,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市2（数据上报地）
10017,C003,4,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市3（数据上报地）
10018,C003,4,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市3（数据上报地）
10019,C003,4,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市3（数据上报地）
10020,C003,4,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市3（数据上报地）
10021,C003,4,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市3（数据上报地）
10022,C003,4,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市3（数据上报地）
10023,C003,4,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市3（数据上报地）
10024,C003,4,2026-12-31,2027-06-30,2027-03-15,1,0,地区A 城市3（数据上报地）
10025,C004,5,2019-12-31,2020-06-30,2020-03-15,1,0,地区A 城市4（数据上报地）
10026,C004,5,2020-12-31,2021-06-30,2021-03-15,1,0,地区A 城市4（数据上报地）
10027,C004,5,2021-12-31,2022-06-30,2022-03-15,1,0,地区A 城市4（数据上报地）
10028,C004,5,2022-12-31,2023-06-30,2023-03-15,1,0,地区A 城市4（数据上报地）
10029,C004,5,2023-12-31,2024-06-30,2024-03-15,1,0,地区A 城市4（数据上报地）
10030,C004,5,2024-12-31,2025-06-30,2025-03-15,1,0,地区A 城市4（数据上报地）
10031,C004,5,2025-12-31,2026-06-30,2026-03-15,1,0,地区A 城市4（数据上报地）
