SupplierID,CompanyName,ContactName,ContactTitle,Phone,Country,City
1,生态环境部环境规划院,王金南,院长,000-00000000,中国,北京
2,地区A生态环境厅,玉米提·哈里克,厅长,000-00000000,中国,地区A 城市1
3,中国石油和化学工业联合会CPCIF,李寿生,会长,000-00000000,中国,北京
4,国家发改委能源研究所NIES,王仲颖,所长,000-00000000,中国,北京
5,中国质量认证中心 CQC,陆梅,核查中心主任,000-00000000,中国,北京
6,中环联合（北京）认证中心 CEC,王红,核查总监,000-00000000,中国,北京
7,上海环境能源交易所,赖晓明,董事长,000-00000000,中国,上海
8,全国碳排放权交易市场CEA,中碳登,运维总监,000-00000000,中国,武汉
9,IEA中国能源数据中心,任经天,研究员,+33-1-4057-6500,法国,巴黎
10,国家统计局地区A调查总队,周青松,总队长,000-00000000,中国,地区A 城市1
